longitude;latitude;Clase_SOM;Phosphate;Iron;Bottom light;Nitrate;Dissolved oxygen;pH;Salinity;Silicate;Temperature;PAR;Organic matter;Chlorophyll-a;Phytoplankton;Bottom utilized oxygen;Primary productivity ;Asp_bat;East_bat;River influence;Benthic current velocity;Runoff;Wind;Land distance;Mean_bat;Nort_bat;Rdmv_bat;Slop_bat;Stde_bat;Surf_bat;Substrate hardness;Particle size;Euphotic layer depth;Light attenuation coefficient;IBMR
916000.5;1286297.5;4;1.9808104;0.000714;26.2050781;21.8564816;63.412693;7.9933333;32.4606209;49.0307503;17.0469036;37.8633804;12.5336256;0.1940231;0.7987261;6.1061282;0.0084779;169.5894928;0.1806996;0.9676434;0.1605646;0.0004192;0.3722943;0.0837936;0;-0.9835383;0.4833837;1.323366;135.3538971;272;40.4713669;5.3989906;41.7465706;0.0270458;0.1095142
916000.5;1281836.5;4;2.2120047;0.0007347;10.1182842;27.7831516;77.4143906;7.992907;33.6543427;46.3841286;13.7379217;37.971199;12.1477432;0.1210301;0.6119435;6.1120334;0.0065651;192.7453003;-0.2206172;0.9762051;0.1496447;0.0003028;0.4000442;0.0902861;-56.5999985;-0.9753605;-0.0028302;2.7627079;286.4266968;-59;40.9701347;5.3948975;41.8805504;0.0342492;0.12558
920461.5;1281836.5;4;1.7533146;0.0006469;5.9849362;22.9406719;86.2235489;7.9951234;33.5606232;42.9775391;14.8099594;38.3204918;11.571125;0.1907101;0.7475933;6.1079688;0.0178884;212.0373993;-0.530472;0.981445;0.1660396;0.0003784;0.4083012;0.090424;-44.6666718;-0.8477025;0.1977201;2.437463;262.8286133;123;43.8028564;5.4667492;38.2206573;0.413761;0.1697323
916000.5;1277375.5;12;2.9879405;0.0006462;4.20E-06;39.0228539;25.9739895;7.991827;34.6416855;70.0614319;7.5366454;38.2804375;10.994277;0.0320487;0.0848297;6.1079869;2.68E-05;239.6741943;-0.8631684;0.9799259;0.1023841;0.000264;0.4277941;0.1096959;-137.8000031;-0.5049163;-0.6268956;4.0972581;234.6260071;-576;42.4688225;4.5708179;42.1090698;0.0487748;0.1204359
920461.5;1277375.5;8;2.4444265;0.0005901;1.53E-05;31.7896309;32.9375114;7.9919767;34.806179;38.0967903;11.6654329;38.1861038;11.2080145;0.1058801;0.2577302;6.1254654;9.82E-05;247.7731934;-0.9256938;0.9841846;0.1267763;0.0003057;0.4269154;0.0963321;-101.5714035;-0.3782738;0.0837932;2.0868659;206.8704987;-43;47.4146919;4.7161756;39.8797951;0.1437632;0.1822787
924922.5;1277375.5;4;1.4850931;0.0007073;3.4422963;19.2874088;116.4109879;7.9939003;33.3266602;24.6654549;19.1168709;38.309742;11.2030954;0.202738;0.8989993;6.1113062;0.008471;213.8679047;-0.5572799;0.9820085;0.1750958;0.0003668;0.4251174;0.081423;-0.7142857;-0.8303247;0.0611451;0.7171845;76.4436569;15;47.2057343;5.4729023;38.2352562;0.4981427;0.2174669
920461.5;1272914.5;8;2.2588241;0.0006161;0.4236459;28.5212021;35.5935593;7.9917612;34.5846214;26.3804379;13.9192734;38.0651894;10.2748194;0.0918295;0.300591;6.1279883;0.0015506;276.9967957;-0.9925531;0.9822761;0.1470561;0.0002516;0.4639983;0.0843521;-142.4286041;0.1218133;0.0142616;1.422877;187.5343018;-134;47.0486298;5.4451656;38.7053833;0.3784364;0.1632664
924922.5;1272914.5;4;1.4487972;0.0005812;2.3237829;16.6742077;112.3668365;7.9920816;33.328701;16.2185783;19.9497566;37.9091568;12.1233177;0.1780729;0.8451796;6.1323986;0.0082105;237.3777008;-0.842243;0.9813096;0.1623977;0.0002954;0.469479;0.0719851;-42.3333282;-0.5390981;0.021419;1.0271471;71.1976929;-37;46.6053467;5.4631739;37.5282249;0.4705116;0.243734
929383.5;1272914.5;4;1.3032869;0.0005599;3.9372361;13.4379034;171.1215973;7.9913082;32.3805351;8.6224022;24.2440414;38.0657005;10.1867027;0.2811758;1.3543028;6.089345;0.008907;255.6678009;-0.9688769;0.9811994;0.1904264;0.0003763;0.4641529;0.0728828;0;-0.247543;-0.1120283;1.205941;98.4783478;5;47.5605736;5.4745269;37.2287979;0.8769099;0.2473551
920461.5;1268453.5;4;2.4752603;0.0006582;0.5823754;30.9769611;30.6525307;7.9907298;34.4199104;36.8058701;12.779047;38.0232048;10.7999258;0.0453591;0.2215892;6.075923;0.0021017;258.1010132;-0.9785128;0.971329;0.1469435;0.0002516;0.5010812;0.1014335;-90;-0.2061863;-0.6369863;0.9185694;58.4533997;-183;42.8392258;5.4247193;40.2221603;0.3092903;0.1374373
